 3886.2820        FeI_4000
 4103.9120       ArII_150
 4131.7240       ArII_300
 4158.5900        ArI_400
 4348.0640       ArII_800
 4510.7330        ArI_100
 4545.0520       ArII_400
 4609.5670       ArII_550
 4657.9010       ArII_400
 4764.8650       ArII_800
 4806.0200       ArII_550
 4847.8100       ArII_150
 4879.8640       ArII_800
 4965.0800       ArII_200
 5062.0370       ArII_70
 5167.4870        FeI_2500
 5269.5370        FeI_1200
 5341.0230        FeI_500
 5371.4890        FeI_400
 5495.8740        ArI_25
 5558.7020        ArI_25
 5606.7330        ArI_35
 5689.8163        NeI_1500
 5764.4188        NeI_7000
 5852.4878        NeI_20000
 5881.8950        NeI_10000
 5944.8340        NeI_5000
 6029.9968        NeI_10000
 6032.1270        ArI_70
 6074.3376        NeI_10000
 6096.1630        NeI_3000
 6143.0627        NeI_10000
 6217.2812        NeI_10000
 6266.4952        NeI_10000
 6304.7893        NeI_1000
 6334.4276        NeI_10000
 6382.9914        NeI_10000
 6402.2480        NeI_20000
 6506.5277        NeI_15000
 6532.8824        NeI_1000
 6598.9528        NeI_10000
 6678.2766        NeI_5000
 6717.0430        NeI_700
 6752.8340        ArI_150
 6871.2890        ArI_150
 6929.4672        NeI_100000
 6965.4310        ArI_10000
 7032.4128        NeI_85000
 7067.2180        ArI_10000
 7147.0420        ArI_1000
 7245.1665        NeI_77000
 7272.9360        ArI_2000
 7383.9800        ArI_10000
 7503.8690        ArI_20000
 7514.6520        ArI_15000
 7635.1060        ArI_25000
 7723.7610        ArI_15000
 7724.2070        ArI_10000
 7948.1760        ArI_20000
 8006.1570        ArI_20000
 8014.7860        ArI_25000
 8103.6930        ArI_20000
 8115.3110        ArI_35000
 8264.5220        ArI_10000
 8408.2100        ArI_15000
 8424.6480        ArI_20000
 8521.4420        ArI_15000
 8667.9440        ArI_4500
 8780.6223        NeI_57000
 8783.7539        NeI_43000
