 Sequence WAVE             ION              INTENS
      199        5524.9302 AR I                191
      200        5558.7021 AR I               1742
      201        5569.6177 FeI                1742
      202        5572.5415 AR I               1742
      203        5586.7554 FeI                 784
      204        5606.7329 AR I               1379
      205        5615.6436 FeI                1379
      206        5650.7036 AR I               1175
      207        5739.5195 AR I                  0
      208        5748.2988 NeI                   0
      209        5764.4180 NeI                4063
      210        5772.1143 AR I               4063
      211        5802.0796 AR I                  0
      212        5834.2632 AR I               1023
      213        5852.4878 NeI               65720
      214        5860.3149 AR I              65720
      215        5875.6211 HE I              13237
      216        5912.0854 AR I               2609
      217        5928.8130 AR I                727
      218        5942.6685 AR I              14517
      219        5944.8340 NeI               14517
      220        5987.3018 AR I                  0
      221        6029.9971 NeI                5516
      222        6032.1274 AR I               5516
      223        6043.2231 AR I                  0
      224        6059.3726 AR I                  0
      225        6074.3379 NeI               11817
      226        6096.1631 NeI               19358
      227        6105.6353 AR I                  0
      228        6114.9233 AR I               7137
      229        6143.0625 NeI               32294
      230        6145.4409 AR I              32294
      231        6163.5938 NeI                7560
      232        6172.2778 AR I               7560
      233        6172.2778 FeI                7560
      234        6212.5029 AR I               3822
      235        6215.9385 FeI                3822
      236        6217.2812 NeI                3822
      237        6243.1201 FeI                   0
      238        6248.4053 FeI                 324
      239        6252.5537 FeI                   0
      240        6266.4951 NeI               10636
      241        6296.8721 AR I                  0
      242        6304.7891 NeI                3468
      243        6307.6572 AR I               3468
      244        6334.4277 NeI                9690
      245        6369.5747 AR I                  0
      246        6382.9912 NeI               10071
      247        6384.7168 FeI               10071
      248        6384.7168 AR I              10071
      249        6402.2461 NeI               24672
      250        6403.0127 FeI               24672
      251        6416.3071 AR I                  0
      252        6466.5527 AR I                 59
      253        6483.0825 AR I                  0
      254        6506.5278 NeI                8480
      255        6532.8823 NeI                1820
      256        6538.1118 AR I               1820
      257        6598.9531 NeI                2725
      258        6604.8535 AR I               2725
      259        6643.6978 AR I                124
      260        6678.1509 HE I               6600
      261        6678.2002 NeI                6600
      262        6717.0430 NeI                1758
      263        6752.8335 AR I                576
      264        6766.6118 AR I                  0
      265        6871.2891 AR I                284
      266        6929.4678 NeI                1023
      267        6937.6641 AR I               1023
      268        6965.4307 AR I               4095
      269        7030.2515 AR I                945
      270        7032.4126 NeI                 945
      271        7065.1899 HE I               1933
      272        7107.4780 AR I                 47
      273        7125.8198 AR I                 50
      274        7147.0415 AR I                251
      275        7158.8389 AR I                  0
      276        7173.9390 NeI                  45
      277        7206.9805 AR I                 29
      278        7245.1670 NeI                  96
      279        7265.1724 AR I                 26
      280        7272.9360 AR I                206
      281        7281.3491 HE I                206
      282        7311.7158 AR I                 24
      283        7316.0049 AR I                 24
      284        7353.2930 AR I                  0
      285        7372.1182 AR I                  0
      286        7383.9805 AR I                408
      287        7392.9800 AR I                408
      288        7412.3369 AR I                353
      289        7425.2944 AR I                353
      290        7435.3682 AR I                 65
      291        7438.8989 NeI                  60
      292        7488.8721 NeI                 155
      293        7503.8691 AR I                323
      294        7514.6519 AR I                475
      295        7535.7749 NeI                   0
      296        7544.0459 NeI                  19
      297        7635.1060 AR I                284
      298        7723.9844 AR I                123
      299        7891.0752 AR I                  0
      300        7948.1763 AR I                 66
      301        8006.1567 AR I                 80
      302        8014.7856 AR I                 76
      303        8082.4580 NeI                   0
      304        8103.6929 AR I                128
      305        8115.3110 AR I                271
      306        8264.5225 AR I                 47
      307        8300.3262 NeI                   0
      308        8327.0527 FeI                  13
      309        8377.6074 NeI                  68
      310        8387.7695 FeI                   0
      311        8408.2100 AR I                 60
      312        8424.6475 AR I                109
      313        8495.3604 NeI                  31
      314        8521.4424 AR I                 56
      315        8634.6484 NeI                  26
      316        8654.3828 NeI                  15
      317        8667.9443 AR I                 27
      318        8688.6211 FeI                  10
      319        8780.6221 NeI                  16
      320        8783.7549 NeI                  16
      321        8853.8662 NeI                  16
      322        9122.9678 AR I                100
      323        9148.6797 NeI                  28
      324        9194.6387 AR I                 37
      325        9224.4990 AR I                 26
      326        9354.2197 nnn                  14
      327        9425.3799 NeI                  36
      328        9534.1670 NeI                   0
      329        9657.7803 nnn                  42
      330        9784.5000 nnn                   0
      331       10470.0500 nnn                   0
      332       10830.3000 nnn                   0
