# background brightness dec_deg dec_txt ellipse equinox fwhm fwhm_x fwhm_y ra_deg ra_txt skylevel starsize time_local time_ut x y
# Written by ginga Pick plugin
695.27197265625 1710.39847744842 0.0 "BAD WCS" 0.9343799854754486 2000.0 12.184245410799438 12.590329621402352 11.76415200877704 0.0 "BAD WCS" 770.0355712890625 43838.06693432291 "2019-05-20 09:24:08" "2019-05-20 00:24:08" 3619.39219323817 791.209312471392
697.718505859375 3144.960790129941 0.0 "BAD WCS" 0.9562285530931833 2000.0 12.0810080309927 12.348234985315132 11.807734873262515 0.0 "BAD WCS" 772.6044311523438 43480.745745439766 "2019-05-20 09:24:24" "2019-05-20 00:24:24" 3515.1245155587385 501.4614185400832
692.494384765625 2410.478706395801 0.0 "BAD WCS" 0.9736902830891655 2000.0 12.146676323264707 12.307500696999341 11.98369383778139 0.0 "BAD WCS" 767.1191040039063 43724.150162605314 "2019-05-20 09:25:05" "2019-05-20 00:25:05" 1497.5788988424601 638.077528720268
692.047607421875 3397.870564294886 0.0 "BAD WCS" 0.9579647929597231 2000.0 12.066222469265208 12.322430667862424 11.80445474349937 0.0 "BAD WCS" 766.6499877929688 43428.39374045123 "2019-05-20 09:25:28" "2019-05-20 00:25:28" 239.905523560461 333.3198463790802
692.3748168945312 1070.0033975127906 0.0 "BAD WCS" 0.9634371970181453 2000.0 12.319789573604597 12.547031363344948 12.088276727599816 0.0 "BAD WCS" 766.9935577392579 44343.55456370057 "2019-05-20 09:25:43" "2019-05-20 00:25:43" 416.97307079270826 2150.0988273228963
699.10107421875 2934.1245869955037 0.0 "BAD WCS" 0.9808170444150436 2000.0 11.725549941020217 11.838549310846062 11.611450945225785 0.0 "BAD WCS" 774.0561279296875 42210.000460929325 "2019-05-20 09:25:47" "2019-05-20 00:25:47" 803.4017254924273 2469.025660111085
710.020263671875 3714.095671152287 0.0 "BAD WCS" 0.951695760144195 2000.0 11.800888752378427 12.089257246376016 11.50529486466854 0.0 "BAD WCS" 785.5212768554687 42470.1937998802 "2019-05-20 09:25:56" "2019-05-20 00:25:56" 602.1217260630787 3271.9889764592895
700.767333984375 1850.3422120952387 0.0 "BAD WCS" 0.9381683923876248 2000.0 11.913502002567183 12.287316450044184 11.52757192069597 0.0 "BAD WCS" 775.8057006835937 42866.79906733228 "2019-05-20 09:26:07" "2019-05-20 00:26:07" 777.520153842992 3883.9193333956787
703.1737670898438 1574.5190577511576 0.0 "BAD WCS" 0.9629201090200129 2000.0 11.838403255408924 12.059881161112418 11.61270208242677 0.0 "BAD WCS" 778.332455444336 42610.64983837053 "2019-05-20 09:26:25" "2019-05-20 00:26:25" 1615.4729059873664 3293.034845926474
692.3707275390625 1175.0539006041186 0.0 "BAD WCS" 0.8970335943719289 2000.0 12.327384873059058 12.977383582186945 11.641149040272413 0.0 "BAD WCS" 766.9892639160156 44313.35872042685 "2019-05-20 09:26:30" "2019-05-20 00:26:30" 2303.152766735282 3491.0308432336283
696.5543212890625 8065.342537405335 0.0 "BAD WCS" 0.93538900152821 2000.0 12.377494577472955 12.783583070461894 11.95762300423228 0.0 "BAD WCS" 771.3820373535157 44534.17093444952 "2019-05-20 09:27:12" "2019-05-20 00:27:12" 3739.851589770518 2962.212814804096
700.8988037109375 3523.8286283745874 0.0 "BAD WCS" 0.9300682858938306 2000.0 12.364290208925173 12.803880856161177 11.908483520678658 0.0 "BAD WCS" 775.9437438964844 44482.255878311706 "2019-05-20 09:27:22" "2019-05-20 00:27:22" 3592.739485512434 2461.0978895148974
707.4581909179688 6102.5562944375015 0.0 "BAD WCS" 0.9445672936050811 2000.0 12.297253115381046 12.64266833748114 11.94185101548121 0.0 "BAD WCS" 782.8311004638672 44252.13483533223 "2019-05-20 09:27:27" "2019-05-20 00:27:27" 3683.80214617801 2107.8299378147226
