5001.096, 0.214
5001.079, 1.833
5002.508, -1.357
5002.536, -0.095
5004.015, -0.179
5003.963, 0.881
5005.445, 0.440
5005.437, 1.238
5006.888, -0.119
5006.876, 1.000
5008.375, -1.036
5008.362, 0.238
5009.804, -0.310
5009.787, 1.345
5011.274, 0.500
5011.262, 1.595
5012.716, -0.048
5012.705, 1.060
5014.198, -0.476
5014.186, 0.714
5015.639, -0.857
5015.630, 0.048
5017.115, -0.690
5017.104, 0.345
5018.535, 0.917
5018.525, 1.952
5020.030, -0.738
5020.018, 0.452
5021.500, 0.083
5021.448, 1.060
5022.934, 0.310
5022.924, 1.262
5024.376, -0.155
5024.362, 1.119
5025.851, 0.060
5025.797, 1.333
5027.334, -0.381
5027.281, 0.714
5028.764, 0.190
5028.751, 1.500
5030.235, 0.929
5030.181, 2.119
5031.681, 0.048
5031.624, 1.548
5033.122, -0.381
5033.104, 1.333
5034.556, -0.095
5034.537, 1.714
5035.979, 1.179
5035.964, 2.702
5037.450, 1.833
5037.437, 3.143
5038.910, 3.595
5038.900, 4.560
5040.405, 1.976
5040.348, 3.536
5041.882, 1.976
5041.821, 3.976
5043.331, 0.845
5043.269, 2.833
5044.767, 0.929
5044.754, 2.167
5046.249, 0.476
5046.235, 1.893
5047.698, -0.690
5047.726, 0.571
5049.169, -0.024
5049.149, 1.893
5050.596, 0.929
5050.541, 2.250
5052.075, 0.821
5052.061, 2.202
5053.532, -1.167
5053.519, 0.095
5054.992, 0.583
5054.978, 1.905
5056.453, -1.786
5056.436, -0.083
5057.919, -0.607
5057.902, 1.024
5059.349, 0.024
5059.335, 1.393
5060.828, -0.119
5060.813, 1.357
5062.269, -0.452
5062.295, 1.000
5063.736, 0.548
5063.720, 2.155
5065.222, -0.238
5065.166, 1.238
5066.659, -0.262
5066.641, 1.488
5068.138, -0.381
5068.124, 0.964
5069.568, 0.250
5069.560, 1.095
5071.017, -0.857
5071.043, 0.524
5072.513, 1.286
5072.459, 2.571
5073.962, 0.107
5073.911, 1.083
5075.399, 0.155
5075.389, 1.107
5076.874, 0.429
5076.861, 1.690
5078.320, -0.464
5078.310, 0.452
5079.783, 0.940
5079.770, 2.179
5081.222, 0.714
5081.209, 1.952
5082.712, -0.464
5082.704, 0.345
5084.157, -1.238
5084.145, -0.083
5085.626, -0.357
5085.573, 0.810
5087.063, -0.429
5087.096, 0.369
5088.509, -1.357
5088.542, -0.500
